timestamp_s;timestamp_origin;sd_block_id;cyc_condition;cyc_charged;age_type;age_temp;age_soc;age_chg_rate;age_dischg_rate;age_profile;v_max_target_V;v_min_target_V;i_chg_max_A;i_dischg_min_A;i_chg_cutoff_A;i_dischg_cutoff_A;cap_aged_est_Ah;soh_cap;delta_q_Ah;delta_q_chg_Ah;delta_q_dischg_Ah;delta_e_Wh;delta_e_chg_Wh;delta_e_dischg_Wh;coulomb_efficiency;energy_efficiency;ocv_est_start_V;ocv_est_end_V;soc_est_start;soc_est_end;t_start_degC;t_end_degC;cyc_duration_s;num_cycles_op;num_cycles_checkup;total_q_chg_CU_RT_Ah;total_q_dischg_CU_RT_Ah;total_q_chg_cyc_OT_Ah;total_q_dischg_cyc_OT_Ah;total_q_chg_other_RT_Ah;total_q_dischg_other_RT_Ah;total_q_chg_other_OT_Ah;total_q_dischg_other_OT_Ah;total_q_chg_sum_Ah;total_q_dischg_sum_Ah;total_e_chg_CU_RT_Wh;total_e_dischg_CU_RT_Wh;total_e_chg_cyc_OT_Wh;total_e_dischg_cyc_OT_Wh;total_e_chg_other_RT_Wh;total_e_dischg_other_RT_Wh;total_e_chg_other_OT_Wh;total_e_dischg_other_OT_Wh;total_e_chg_sum_Wh;total_e_dischg_sum_Wh;uptime_ticks
1665603069.000;1;69918208;0;0;1;40;100;0.00;0.00;0;4.2000;2.6000;1.0000;-1.0000;0.1500;-0.1500;nan;nan;-0.777033;0.000000;-0.777033;-2.494492;0.000000;-2.494492;nan;nan;3.5578;2.6335;26.9721;1.0277;24.79;25.99;2992.80;0;0;0.00;0.00;0.00;0.00;0.00;0.78;0.00;0.00;0.00;0.78;0.00;0.00;0.00;0.00;0.00;2.49;0.00;0.00;0.00;2.49;904609
1665603569.000;1;70048768;0;0;1;40;100;0.00;0.00;0;4.2000;2.5000;1.0000;-1.0000;0.1500;-0.1500;nan;nan;-0.018337;0.000000;-0.018337;-0.046228;0.000000;-0.046228;nan;nan;2.7207;2.5092;0.7060;0.0937;25.53;25.45;198.60;0;0;0.00;0.00;0.00;0.00;0.00;0.80;0.00;0.00;0.00;0.80;0.00;0.00;0.00;0.00;0.00;2.54;0.00;0.00;0.00;2.54;952157
1665615144.000;1;73017856;2;1;1;40;100;0.00;0.00;0;4.2000;2.5000;1.0000;-1.0000;0.1500;-0.1500;2.938660;95.910645;2.912513;2.912513;0.000000;11.047302;11.047302;0.000000;nan;nan;2.6252;4.1865;0.4007;99.5110;25.10;26.61;10976.40;0;0;2.91;0.00;0.00;0.00;0.00;0.80;0.00;0.00;2.91;0.80;11.05;0.00;0.00;0.00;0.00;2.54;0.00;0.00;11.05;2.54;2056171
1665626101.000;1;75831808;2;0;1;40;100;0.00;0.00;0;4.2000;2.5000;1.0000;-1.0000;0.1500;-0.1500;2.937534;95.835590;-2.910672;0.000000;-2.910672;-10.591584;0.000000;-10.591584;99.936789;95.874846;4.1865;2.6329;99.5110;0.4254;26.61;25.72;10656.10;0;0;2.91;2.91;0.00;0.00;0.00;0.80;0.00;0.00;2.91;3.71;11.05;10.59;0.00;0.00;0.00;2.54;0.00;0.00;11.05;13.13;3101024
1665627704.000;1;76247552;0;1;1;40;100;0.00;0.00;0;3.4109;2.5000;1.0000;-1.0000;0.1500;-0.1500;nan;nan;0.295592;0.295592;0.000000;0.973211;0.973211;0.000000;nan;nan;2.6329;3.4108;0.4254;10.4841;25.72;25.31;1604.59;0;0;2.91;2.91;0.00;0.00;0.30;0.80;0.00;0.00;3.21;3.71;11.05;10.59;0.00;0.00;0.97;2.54;0.00;0.00;12.02;13.13;3254051
1665640021.000;1;79424512;0;1;1;40;100;0.00;0.00;0;3.6091;2.5000;1.0000;-1.0000;0.1500;-0.1500;nan;nan;0.560891;0.560891;0.000000;1.987763;1.987763;0.000000;nan;nan;3.3818;3.6090;12.3348;31.4214;24.97;24.90;2627.10;0;0;2.91;2.91;0.00;0.00;0.90;0.83;0.00;0.00;3.81;3.74;11.05;10.59;0.00;0.00;3.10;2.67;0.00;0.00;14.15;13.26;4428638
1665655050.000;1;83268096;0;1;1;40;100;0.00;0.00;0;3.3300;2.5000;1.0000;-1.0000;0.1500;-0.1500;nan;nan;0.013911;0.013911;0.000000;0.046296;0.046296;0.000000;nan;nan;3.2855;3.3299;8.3751;8.8485;24.82;24.74;129.70;0;0;2.91;2.91;0.00;0.00;1.47;1.94;0.00;0.00;4.39;4.85;11.05;10.59;0.00;0.00;5.22;6.55;0.00;0.00;16.27;17.14;41197
1665660201.000;1;84598272;0;1;1;40;100;0.00;0.00;0;3.6091;2.5000;1.0000;-1.0000;0.1500;-0.1500;nan;nan;0.526876;0.526876;0.000000;1.864849;1.864849;0.000000;nan;nan;3.3319;3.6012;10.0796;28.0088;24.83;24.98;2476.10;0;0;2.91;2.91;0.00;0.00;2.03;1.97;0.00;0.00;4.94;4.88;11.05;10.59;0.00;0.00;7.19;6.63;0.00;0.00;18.23;17.22;532527
1665670592.000;1;87278080;0;1;1;40;100;0.00;0.00;0;3.7453;2.5000;1.0000;-1.0000;0.1500;-0.1500;nan;nan;0.602106;0.602106;0.000000;2.228189;2.228189;0.000000;nan;nan;3.5967;3.7452;31.0895;51.5786;24.88;25.14;2859.40;0;0;2.91;2.91;0.00;0.00;2.67;2.00;0.00;0.00;5.59;4.91;11.05;10.59;0.00;0.00;9.56;6.77;0.00;0.00;20.61;17.36;1523506
1665680385.000;1;89804288;0;1;1;40;100;0.00;0.00;0;3.9393;2.5000;1.0000;-1.0000;0.1500;-0.1500;nan;nan;0.566704;0.566704;0.000000;2.200143;2.200143;0.000000;nan;nan;3.7319;3.9329;49.5534;68.8378;24.80;25.02;2694.89;0;0;2.91;2.91;0.00;0.00;3.28;2.04;0.00;0.00;6.19;4.95;11.05;10.59;0.00;0.00;11.92;6.91;0.00;0.00;22.97;17.50;2457398
